,freqs,ampl_over_asd,phi_inj,phi_ppe_map,phi_npe_map,phi_ppe_post_gr,phi_ppe_post_mod,phi_ppe_post,phi_npe_post_gr,phi_npe_post_mod,phi_npe_post
567,61.244056116247286,3.366176784509654e+21,-21.299394437456243,-5.839813475052827,-17.652157057361688,-14.52472106424125,-5.82853301160405,-20.3532540758453,-13.146768863257321,-8.065686433939755,-21.212455297197074
568,61.440121461651415,3.361691240799088e+21,-21.180402689132784,-5.796422446709956,-17.539298462058778,-14.45436550731233,-5.785225799450055,-20.239591306762385,-13.092969576846958,-8.008137216425977,-21.101106793272933
569,61.636814486247715,3.357170953517665e+21,-21.06211415275762,-5.753353822729605,-17.427160429333,-14.38438819146914,-5.74224036888687,-20.12662856035601,-13.039447466931522,-7.950992741001917,-20.99044020793344
570,61.834137199474256,3.352629997344435e+21,-20.944524476141133,-5.710605207580323,-17.315744885822262,-14.314787184760352,-5.6995743290103675,-20.01436151377072,-12.986201129707332,-7.894257650980267,-20.880458780687597
571,62.03209161720204,3.348054430923891e+21,-20.82762933507624,-5.668174223529965,-17.205044124974936,-14.24556056548281,-5.65722530668134,-19.902785872164152,-12.933229168778194,-7.837927303048333,-20.771156471826526
572,62.230679761755724,3.343453064196824e+21,-20.711424433152736,-5.626058510513414,-17.095046586963583,-14.176706422126594,-5.615190946393493,-19.791897368520086,-12.880530195115512,-7.781997827778872,-20.662528022894385
573,62.42990366193408,3.3388288223663473e+21,-20.595905501572826,-5.584255726001348,-16.985763831615643,-14.10822285332162,-5.573468910142438,-19.68169176346406,-12.828102827019931,-7.7264676774009855,-20.554570504420916
574,62.629765353030926,3.334168266338497e+21,-20.481068298968022,-5.5427635448698975,-16.877182372465768,-14.040107967783886,-5.53205687729563,-19.572164845079516,-12.775945690081919,-7.6713329824874315,-20.44727867256935
575,62.83026687685577,3.329488157924015e+21,-20.36690861121721,-5.5015796592713775,-16.76930028287605,-13.972359884262424,-5.490952544463334,-19.463312428725757,-12.724057417144053,-7.6165929691527605,-20.340650386296815
576,63.03141028175472,3.324777773509824e+21,-20.253422251265974,-5.46070177850587,-16.66210985629486,-13.904976731486345,-5.450153625370459,-19.355130356856804,-12.672436648262149,-7.562242220198829,-20.23467886846098
577,63.233197622631394,3.3200399808915875e+21,-20.140605058947173,-5.420127628893853,-16.555607239446395,-13.837956648111907,-5.409657850729424,-19.24761449884133,-12.621082030667004,-7.508279961740191,-20.129361992407198
578,63.43563096096804,3.315283112023475e+21,-20.02845290080269,-5.379854953649687,-16.449790505692736,-13.771297782670255,-5.369462968113911,-19.140760750784167,-12.569992218726913,-7.454702324349602,-20.024694543076514
579,63.63871236484634,3.3104890348551537e+21,-19.91696166990644,-5.33988151275615,-16.344651948482262,-13.704998293515331,-5.329566741833624,-19.034565035348955,-12.51916587390958,-7.401506212485264,-19.920672086394845
580,63.84244390896883,3.305676189097297e+21,-19.806127285688525,-5.300205082839785,-16.24018771453916,-13.639056348771893,-5.289966952809878,-18.929023301581772,-12.468601664744588,-7.348694721688976,-19.817296386433565
581,64.04682767467986,3.300837525578435e+21,-19.695945693760724,-5.260823457047286,-16.13639587722552,-13.57347012628391,-5.250661398452228,-18.82413152473614,-12.418298266786241,-7.296254695908107,-19.71455296269435
